"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Willson Contreras","Cubs","130","533","469","126","24","3","17","66","71","52","115","9","5","2",".269",".351",".441",".792",".343","4.0","-0.2","4.2","133.5","11609"
"Jean Segura","Phillies","148","668","622","190","33","4","15","102","74","35","70","8","25","7",".305",".349",".444",".793",".342","0.0","1.7","4.3","61.0","5933"
"Starling Marte","Pirates","141","616","564","160","29","5","19","75","79","36","103","14","30","7",".284",".341",".454",".795",".342","3.0","2.8","3.9","35.9","9241"
"Jed Lowrie","Mets","143","639","563","152","31","2","19","95","77","70","108","2","1","1",".270",".351",".433",".784",".341","0.0","-0.6","3.8","351.7","4418"
"Ryan Braun","Brewers","126","546","493","134","27","2","22","69","77","46","96","3","11","3",".272",".335",".469",".804",".341","-1.0","0.7","2.0","197.6","3410"
"Eddie Rosario","Twins","146","645","604","174","34","2","26","88","86","34","109","1","12","4",".288",".324",".480",".804",".341","3.0","0.4","2.9","85.8","12155"
"Gregory Polanco","Pirates","99","426","375","97","23","3","16","51","60","45","69","2","9","2",".259",".338",".464",".802",".340","0.0","0.7","1.8","255.6","12907"
"Rougned Odor","Rangers","156","679","610","160","29","3","30","90","96","56","139","8","18","7",".262",".330",".467",".797",".340","3.0","0.4","3.5","128.4","12282"
"Danny Jansen","Blue Jays","115","471","408","108","24","1","13","55","59","45","76","14","2","0",".265",".355",".424",".779",".339","0.0","0.1","3.4","180.6","16535"
"Jeimer Candelario","Tigers","143","642","560","142","36","3","21","97","78","71","127","7","4","2",".254",".343",".441",".784",".339","1.0","-0.4","3.6","478.2","13621"
"Keon Broxton","Mets","128","527","462","114","20","6","20","67","72","59","146","4","26","5",".247",".336",".446",".782",".339","11.0","2.8","4.4","550.5","9253"
"Max Kepler","Twins","152","640","562","142","33","5","23","80","89","68","99","5","6","2",".253",".336",".452",".788",".338","7.0","0.0","3.1","230.3","12144"
"Jackie Bradley Jr.","Red Sox","141","571","506","131","31","5","19","70","76","51","122","10","15","2",".259",".336",".453",".789",".338","8.0","1.9","3.7","217.9","12984"
"Kolten Wong","Cardinals","128","515","446","123","23","5","10","56","62","48","67","16","11","3",".276",".363",".417",".780",".337","12.0","0.6","4.0","559.0","12532"
"Odubel Herrera","Phillies","147","614","562","158","29","4","19","74","82","44","127","6","11","3",".281",".339",".448",".787",".337","2.0","0.6","3.3","260.2","11476"
